Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity
2024-10-05 16:00:00,Saturday,Under 18,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 16:00:00,Saturday,Unknown,Male,Junior high school,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,Driving carelessly,Slight Injury
2024-10-05 08:45:00,Wednesday,18-30,Male,Elementary school,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,,,,,No priority to vehicle,Slight Injury
2024-10-05 08:45:00,Wednesday,31-50,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3.0,Moving Backward,Slight Injury
2024-10-05 14:53:00,Wednesday,Over 51,Male,Junior high school,Above 10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,2,Going straight,Passenger,Male,Under 18,3.0,Changing lane to the left,Slight Injury
2024-10-05 14:53:00,Wednesday,31-50,Male,Junior high school,Below 1yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,31-50,3.0,Overturning,Slight Injury
2024-10-05 14:53:00,Wednesday,31-50,Male,Junior high school,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Other,Other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 13:30:00,Saturday,18-30,Unknown,Elementary school,5-10yr,Automobile,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 13:30:00,Saturday,18-30,Male,Elementary school,Above 10yr,Long lorry,Owner,Below 1yr,Unknown,Church areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 13:30:00,Saturday,Unknown,Female,Junior high school,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3.0,Changing lane to the left,Slight Injury
2024-10-05 12:15:00,Wednesday,18-30,Male,Unknown,Unknown,Public (13-45 seats),Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 12:15:00,Wednesday,18-30,Male,High school,5-10yr,Lorry (41-100Q),Owner,Unknown,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Turnover,,,,,No distancing,Slight Injury
2024-10-05 12:15:00,Wednesday,18-30,Male,Elementary school,2-5yr,Public (13-45 seats),Owner,Unknown,Unknown,Office areas,One way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 12:15:00,Wednesday,18-30,Male,Unknown,Unknown,Other,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,3,4,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 12:15:00,Wednesday,Unknown,Male,Unknown,Unknown,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 12:15:00,Wednesday,Unknown,Female,High school,1-2yr,Lorry (41-100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,4,Going straight,Passenger,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 17:42:00,Thursday,Over 51,Male,Junior high school,1-2yr,Long lorry,Owner,Below 1yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,,,,,No distancing,Slight Injury
2024-10-05 17:42:00,Thursday,Over 51,Male,Junior high school,1-2yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 17:42:00,Thursday,Over 51,Male,Junior high school,Above 10yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,4,Moving Backward,Driver or rider,Male,Over 51,3.0,No distancing,Slight Injury
2024-10-05 17:42:00,Thursday,Over 51,Male,Junior high school,1-2yr,Lorry (41-100Q),Governmental,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Passenger,Female,Over 51,3.0,Changing lane to the left,Slight Injury
2024-10-05 13:17:00,Saturday,31-50,Male,High school,Above 10yr,Lorry (41-100Q),Owner,Unknown,Unknown,Office areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 13:17:00,Saturday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Unknown,Office areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 13:17:00,Saturday,31-50,Male,Junior high school,1-2yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 18:55:00,Saturday,31-50,Male,Junior high school,1-2yr,Other,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Moving Backward,,,,,No distancing,Slight Injury
2024-10-05 18:55:00,Saturday,18-30,Male,High school,2-5yr,Other,Owner,2-5yrs,Unknown,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,Over 51,2.0,Overtaking,Slight Injury
2024-10-05 18:55:00,Saturday,Unknown,Male,Junior high school,2-5yr,Automobile,Governmental,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Other,,,,,Other,Slight Injury
2024-10-05 16:12:00,Saturday,Over 51,Male,Junior high school,1-2yr,Pick up upto 10Q,Governmental,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,2,Other,Passenger,Female,Under 18,3.0,Other,Slight Injury
2024-10-05 16:12:00,Saturday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,3.0,Changing lane to the right,Slight Injury
2024-10-05 10:29:00,Wednesday,31-50,Male,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 10:29:00,Wednesday,Over 51,Male,Junior high school,1-2yr,Automobile,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,No priority to vehicle,Slight Injury
2024-10-05 10:55:00,Sunday,18-30,Male,Elementary school,5-10yr,Other,Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 10:55:00,Sunday,18-30,Male,Junior high school,2-5yr,Public (12 seats),Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Other,,,,,Changing lane to the left,Slight Injury
2024-10-05 10:55:00,Sunday,18-30,Male,Elementary school,5-10yr,Stationwagen,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3.0,Overtaking,Slight Injury
2024-10-05 20:57:00,Sunday,18-30,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Getting off,,,,,No distancing,Slight Injury
2024-10-05 20:57:00,Sunday,18-30,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,2,Going straight,Driver or rider,Male,5,3.0,No priority to vehicle,Slight Injury
2024-10-05 20:57:00,Sunday,31-50,Male,Elementary school,2-5yr,Lorry (41-100Q),Owner,Unknown,Unknown,Office areas,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,Over 51,3.0,Changing lane to the right,Slight Injury
2024-10-05 18:59:00,Saturday,Unknown,Female,Elementary school,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,31-50,3.0,Changing lane to the left,Slight Injury
2024-10-05 13:30:00,Tuesday,Unknown,Male,Junior high school,1-2yr,Lorry (41-100Q),Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 13:30:00,Tuesday,18-30,Male,Elementary school,Above 10yr,Other,Other,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 07:25:00,Thursday,31-50,Male,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Other,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 07:25:00,Thursday,Unknown,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3.0,Driving carelessly,Slight Injury
2024-10-05 21:54:00,Thursday,31-50,Male,Elementary school,Above 10yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 21:54:00,Thursday,Unknown,Female,Junior high school,2-5yr,Automobile,Other,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Other,Passenger,Male,31-50,3.0,No distancing,Slight Injury
2024-10-05 12:46:00,Friday,18-30,Male,Elementary school,Above 10yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 19:47:00,Friday,18-30,Male,Junior high school,Above 10yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Going straight,Passenger,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 19:47:00,Friday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Going straight,Passenger,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 19:47:00,Friday,18-30,Male,Junior high school,Above 10yr,Other,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 19:47:00,Friday,18-30,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,Unknown,Unknown,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,4,4,Other,,,,,Moving Backward,Slight Injury
2024-10-05 19:47:00,Friday,Unknown,Female,Junior high school,Below 1yr,Automobile,Owner,5-10yrs,Unknown,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,4,Moving Backward,Driver or rider,Male,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 19:47:00,Friday,Unknown,Female,Junior high school,Above 10yr,Public (13-45 seats),Owner,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,4,4,Other,Passenger,Female,Over 51,3.0,No priority to vehicle,Slight Injury
2024-10-05 17:21:00,Tuesday,Over 51,Male,High school,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Moving Backward,Slight Injury
2024-10-05 17:21:00,Tuesday,31-50,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 17:25:00,Friday,31-50,Male,Elementary school,Unknown,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,3,3,Other,,,,,Driving carelessly,Slight Injury
2024-10-05 17:25:00,Friday,31-50,Male,Junior high school,5-10yr,Motorcycle,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Dry,Daylight,Other,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,3.0,Driving under the influence of drugs,Slight Injury
2024-10-05 17:25:00,Friday,31-50,Male,Junior high school,5-10yr,Public (12 seats),Governmental,Below 1yr,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Other,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,2.0,No priority to pedestrian,Slight Injury
2024-10-05 17:25:00,Friday,31-50,Male,Junior high school,Below 1yr,Lorry (41-100Q),Owner,Unknown,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,3,3,Going straight,,,,,No priority to vehicle,Slight Injury
2024-10-05 17:25:00,Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Other,Vehicle with vehicle collision,3,3,Going straight,Pedestrian,Male,Under 18,3.0,Driving carelessly,Slight Injury
2024-10-05 07:35:00,Wednesday,31-50,Male,Elementary school,2-5yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside-parked vehicles,3,1,Going straight,Pedestrian,Male,Over 51,3.0,Moving Backward,Slight Injury
2024-10-05 07:35:00,Wednesday,31-50,Male,Junior high school,2-5yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside-parked vehicles,3,1,Going straight,Driver or rider,Male,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 07:35:00,Wednesday,31-50,Male,Elementary school,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Raining,Collision with animals,3,1,Going straight,Pedestrian,Female,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 15:20:00,Wednesday,Unknown,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Other,,,,,Changing lane to the right,Serious Injury
2024-10-05 06:40:00,Thursday,31-50,Male,Junior high school,Above 10yr,Automobile,Organization,Unknown,Unknown,Residential areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 06:40:00,Thursday,18-30,Male,Junior high school,2-5yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,31-50,3.0,No priority to vehicle,Slight Injury
2024-10-05 14:33:00,Sunday,31-50,Male,Junior high school,1-2yr,Other,Other,Unknown,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 14:33:00,Sunday,31-50,Male,Junior high school,2-5yr,Automobile,Organization,5-10yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Passenger,Female,Under 18,3.0,Moving Backward,Slight Injury
2024-10-05 14:33:00,Sunday,Over 51,Male,Junior high school,1-2yr,Public (13-45 seats),Owner,Above 10yr,Unknown,School areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Pedestrian,Male,31-50,3.0,Overtaking,Slight Injury
2024-10-05 14:33:00,Sunday,Over 51,Male,Junior high school,5-10yr,Public (13-45 seats),Owner,5-10yrs,Unknown,Hospital areas,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 14:33:00,Sunday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Moving Backward,Driver or rider,Female,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 14:33:00,Sunday,Unknown,Male,Elementary school,2-5yr,Public (12 seats),Owner,Unknown,Unknown,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,,,,,Overtaking,Slight Injury
2024-10-05 07:20:00,Wednesday,18-30,Male,Elementary school,Below 1yr,Public (12 seats),Owner,Above 10yr,No defect,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,1,1,Going straight,Driver or rider,Male,31-50,3.0,Overloading,Serious Injury
2024-10-05 10:04:00,Thursday,Over 51,Male,Unknown,Unknown,Lorry (41-100Q),Owner,5-10yrs,Unknown,Industrial areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Passenger,Female,18-30,3.0,Other,Serious Injury
2024-10-05 14:20:00,Saturday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Other,Other,2,1,Going straight,Pedestrian,Female,31-50,3.0,No priority to vehicle,Slight Injury
2024-10-05 14:20:00,Saturday,Unknown,Female,High school,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads with some distress,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 19:50:00,Monday,Unknown,Female,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,2,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 19:50:00,Monday,18-30,Male,Junior high school,1-2yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Rollover,2,2,Going straight,Driver or rider,Male,Under 18,3.0,Changing lane to the left,Slight Injury
2024-10-05 19:50:00,Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,2,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 10:20:00,Tuesday,Unknown,Male,Junior high school,Below 1yr,Stationwagen,Governmental,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Pedestrian,Female,Over 51,3.0,No distancing,Slight Injury
2024-10-05 10:20:00,Tuesday,18-30,Male,Elementary school,2-5yr,Motorcycle,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 15:20:00,Wednesday,31-50,Male,Junior high school,5-10yr,Other,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,1,1,Going straight,,,,,No distancing,Slight Injury
2024-10-05 11:53:00,Saturday,18-30,Male,Elementary school,5-10yr,Other,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,Pedestrian,Male,Over 51,3.0,No distancing,Slight Injury
2024-10-05 06:46:00,Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs,Unknown,Industrial areas,One way,Other,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Other,,,,,Moving Backward,Slight Injury
2024-10-05 06:46:00,Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Pedestrian,Male,Under 18,3.0,Changing lane to the right,Slight Injury
2024-10-05 01:10:00,Wednesday,31-50,Male,Unknown,Unknown,Other,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Pedestrian,Male,18-30,3.0,No priority to pedestrian,Slight Injury
2024-10-05 01:10:00,Wednesday,Unknown,Male,High school,2-5yr,Public (> 45 seats),Governmental,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 08:50:00,Monday,Under 18,Male,Junior high school,1-2yr,Automobile,Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,3.0,Getting off the vehicle improperly,Slight Injury
